,MKT,SMB,HML,RMW,CMA,MOM,intercept,r_squared
A,0.8622048178717101,0.062310279741570995,-0.256379457279917,-0.102216465868015,0.17222877824638208,-0.09275279437293002,7.330182321158276e-06,0.47798626386946386
AA,1.2454549764612333,0.7230031121642212,0.6197197864595103,-0.43829890478525757,0.4651480923310996,-0.16252193780543098,-0.00024767941504415264,0.36791093235767747
UFCS,0.7103884230012693,0.6868802776393861,0.5784536619216923,0.2146293366482775,0.18869881576339198,0.02189003907679133,-0.00033024637390161136,0.3642387888481726
UFPI,0.9563622584363289,1.2129512642484346,0.06491179609394829,0.6350807501420798,-0.08156451466222546,0.12396077246275032,7.162720372599464e-05,0.5579413562631254
UFPT,0.666957434304992,0.7688261470115619,0.004394389665738923,0.07369561665123643,-0.03870056842523536,0.09010070744097419,0.0009300554857463787,0.22948141902354713
UFS,0.9361396352195385,0.42604046487478764,0.09970364058014757,0.2942389616594522,0.3364741289031559,-0.3579752433734527,-0.0006726449953359138,0.4792156469129354
UG,0.26853780699587204,0.12364225363461075,0.039260273221042516,0.0604553633697421,0.1494256106104952,0.017375742194764062,-0.0003273842206366028,0.022425198998913154
UGA,0.5756292139329786,-0.19684680844084462,0.4409615728306009,-0.36579374395353503,0.3867720274215366,-0.02290953882060189,0.0004599389239163589,0.15268536337265226
UGE,1.2337019031035155,0.017547252669529164,-0.28684879311828787,0.09463701875934623,0.4180514878196502,-0.18373040198653293,-0.0003868583598467005,0.6034981507838398
UGI,0.6263481205650993,0.30804506818675337,0.21860463222939244,0.13001964319984327,0.45172491260157416,-0.2293250153944771,-0.0004827320858496304,0.3920884144064639
UGL,0.1580104703085658,0.13689812784897915,-0.2710445711568159,-0.2799808512911905,0.5728545211927354,0.07591800468020062,0.00045659419918877317,0.04893378320579256
UGP,0.8783980356212281,0.08263479231013726,0.3639524170778499,-0.3205787706441105,0.17830889165867803,-0.044468538295869144,-0.001191829767013062,0.17197205945060823
UHAL,0.666936322635148,0.23736077914107725,0.12372551538041546,0.22754318450965783,-0.22257230660600208,-0.0660178083220238,0.012932708489934818,0.05202491288842115
UHN,0.28196301004638824,-0.18159038000433259,0.09401120428761692,-1.499411880528512,0.9002466970585999,0.21662021591288133,0.0004855140657338128,0.3161250831256618
UHS,0.8027566961931963,0.38524690679018364,0.07849707538845888,0.34272267838840587,0.42141605948625593,-0.1978604331462139,-7.692824874391662e-05,0.3986703180661636
UHT,0.6791430172660247,0.7252495036099326,0.05609770692955777,0.41866811031466283,0.39430842673762845,-0.18043289907455393,-0.0006043084688475893,0.37882268885559645
UIHC,0.667259499938471,1.065742974256072,0.3693518878370274,-0.09270284906842882,-0.1814251582175123,-0.055469108167486764,-0.000869019676880602,0.1502352333184953
UIL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UIS,1.131511616918335,1.1435644759644787,-0.1581262296378227,-0.14672155771229792,0.47687348962999704,-0.1299867566018445,-0.0004994363828219944,0.31389861036806344
UKK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UKW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UL,0.4429151552884954,-0.05463963102991885,-0.10419117611282382,0.188745770613081,0.29311743935786927,-0.046323213888331514,-0.00017797295444580262,0.22525091193204394
ULBI,0.6555710722940058,0.6474021802798264,0.02895436784576074,-0.16473933885879577,0.3433726075107997,0.047796197296448635,-0.0004631532117941844,0.12694819486789022
ULE,0.12861950447380116,0.02860999804091708,-0.02017462755695296,-0.1368630926569425,0.06548029173345664,-0.04149370828552412,-0.0003183792064912609,0.04918601716691229
ULST,0.005176244581978134,0.00389211242619229,-0.0030482982205982745,-0.0004537416792791625,0.009905844010715646,-0.0020500490641798597,1.4108641236546512e-05,0.01144720576468572
ULTA,0.7975151864723414,0.5203978451725716,-0.09847143539712125,0.3394901213112288,0.2318024689122516,-0.1658887756498508,0.0003565810041226836,0.3190789734959939
ULTI,0.8047331355825879,0.32762958809316783,-0.605491204250377,0.049705345049542896,-0.4230708534195559,0.3917044768056126,8.895889022983616e-05,0.5651860749905646
UMBF,0.8090387964396852,0.6591070618318664,0.84667580841397,-0.011763076644273148,-0.3163590314030991,-0.07141428459430892,0.00012183282697525574,0.6194393708077064
UMDD,2.3744765349415777,1.5130739886793552,0.24948055112005876,0.10149358683215906,0.12519273784727242,-0.0971834086609631,-0.0005490559006718186,0.8625969302819723
UMH,0.6374768061051284,0.5309971719482527,0.005752138274807686,0.24994275903727728,0.31403090798313116,-0.176141617848161,1.89859761986628e-05,0.33184876808153296
UMPQ,0.8362385782454054,0.5299677064870252,1.0510543064954316,-0.11403840281800987,-0.6585375137269631,-0.0517230904802999,-0.00033696954789177113,0.6718697479710005
UMX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UN,0.45460290497669453,-0.09157541953718193,-0.06445323622772138,0.054615293553959554,0.45553852239403575,0.06348580136117322,-3.0647247632570075e-05,0.3037126481689345
UNAM,0.12370074831941352,0.18452391964908837,0.10059815838225344,-0.0633377954293279,-0.19584322236770907,0.2072434701195256,-0.002726104471451135,0.004939432171708336
UPV,1.312458761831637,0.14821985764683504,0.09074967317040998,-0.07067816275636396,0.2462353377826001,-0.14213421195543088,-0.00021335135655311722,0.6115777447153667
URE,1.2548547535376338,0.20942197779592878,-0.13732357227314665,0.047198963335040804,0.6110044035939931,-0.33838405519744413,-0.0003550262291311051,0.4991951640677308
URI,1.290165745889599,0.8466926339463495,0.41275976567260214,0.3410736336913953,-0.11607905370680353,-0.018309505410349994,0.00035345352494534467,0.5724256603193374
URS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
URTH,0.7348576221921392,-0.004963602728049973,-0.03228354830840559,-0.009550665701891205,0.043605117397309226,-0.039435263880123306,-7.724243570363209e-07,0.8704655551234413
URTY,2.4738767978845067,2.4840637904132596,-0.06359382759747169,-0.36472577764077846,0.18162393675330116,-0.05203801718955776,-0.0007455546668214156,0.9173037978465504
USA,0.7810438296807835,0.055557296746818245,-0.008415759482040349,-0.0643868700673117,0.051052671410465794,-0.060356807512117104,-0.00024184289775151682,0.5954899225426113
USAC,0.6658114388534186,0.21790565192508468,0.6090789118401068,-0.353918893345197,-0.046922269586902904,-0.05335045054097748,0.00027451431682792767,0.2530208835377853
USAK,0.90115554708837,1.1530479102027467,0.17681839818278375,0.44091115533097125,-0.1959145383827406,0.17568125959847733,-6.217482949229743e-05,0.21730172663944436
USAP,0.6309847578373893,0.7899761806281468,0.28676016116051434,-0.0885459375850607,-0.07814304848649846,-0.01566852236954769,0.0001715189462290686,0.15336697939541288
USB,0.8104503314087006,0.06285597223480406,0.9641335863500698,-0.27224904804394795,-0.26532968929391937,-0.13564697761450173,-0.00022985564822994674,0.6449746709598944
VNO,0.8610402697602357,0.6320333285452944,0.3327159332341899,0.033315824744049205,0.28672034652253275,-0.3182038936842782,-0.0006884350143694472,0.4305660291783757
VNQ,0.6314296934802175,0.15978174406713497,-0.058250442156628515,0.028922632998520457,0.30340372434419005,-0.1701493937751497,-0.00013242273960692905,0.5074975805039961
VNQI,0.4742741163383406,0.08288767841007814,0.016741003755976723,-0.09078170180196232,0.1122182116610989,-0.10406849758236099,-0.0003281815049854662,0.45601262407341747
VNR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VNTV,3.70441743781286,-4.3768655942128465,2.2025646157025616,1.7954733924174435,5.6127548089011,-0.5576181593960794,-0.01561778413393357,0.9365570055791158
VO,0.769527877225089,0.1945115616180141,-0.002165796271922685,-0.09899310509057745,0.0021148226271863173,-0.04658762669473512,2.1674843070240087e-05,0.8652272081193021
VOCS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VOD,0.5978400729089834,0.058771755283253006,0.27083736250588125,-0.008561701487766688,0.16605144489703672,-0.08169588358106612,-0.0008553827111376169,0.2582659512134545
VOE,0.7259321965428932,0.19878705495086252,0.20288936830998996,0.015300854638217133,0.17761380770454455,-0.08522924125981461,-2.203211085764668e-05,0.8331420010519928
VOLC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VONE,0.7690080509825087,0.0030733116189160183,-0.06585062143593569,0.007209092104239163,-0.010427467251047567,-0.029850632068813467,7.164660273773354e-05,0.8920531782730389
VONG,0.8904814555345882,-0.04559390935902046,-0.29653625081489354,0.05142545335713626,-0.12936684676035706,0.02304960467076586,8.009255145692746e-05,0.9040832731790398
VONV,0.6870960893007239,0.047214294095714336,0.19250129648065412,-0.04591727654853563,0.148215189269632,-0.0847237002112499,-3.1231404313873234e-05,0.84442847302946
VOO,0.7757858285721696,-0.046640008808146845,-0.05892245230383225,0.04270368721478922,0.02523452802964925,-0.038048986711959484,6.031762613831211e-05,0.8915121621327122
VOOG,0.8741179303302601,-0.08099126920713577,-0.2659238981576383,0.09084529595589261,-0.07822162558646759,0.0028616167989169014,5.63882632865628e-05,0.894577769398968
